country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,12.1,14.9,14.9,15.1,14.9,,,,
Afghanistan,67.7,68,68,68.3,68.7,69,70.4,72.4,74.4,73.7,75,72.8,79.1,70.2,70.9,74.1,70.8,72,68.7,87.2,86,82.5,85.9,78.6,85.3,86.1,,,,
Angola,86.2,82.7,88.7,93.7,93.7,93.8,90,76.4,80.4,67,63.1,62.1,64.8,62.2,78.4,79.6,80.6,77.6,75.4,65.3,68,70.9,60.8,58,53.2,53.2,,,,
Albania,86.4,92.1,95.1,93.9,95.7,94,95.7,96.2,96.3,97.3,96.1,95.3,94,97.9,97.5,98.7,98.3,97.5,100,100,100,98.6,100,100,100,100,,,,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.9,98.8,94.6,75,80.1,76.5,88.7,86.5,86.7,88.8,89.4,86.1,,,,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941,0.258,0.232,,,,
Argentina,35.4,30.4,34.9,38.9,42.6,40.2,33.4,39.4,36.4,27.3,33.2,41.8,43.6,38,31.6,33.5,37.1,29.8,26.3,28.9,28.6,32.3,29.3,31.5,31.6,28.1,,,,
Armenia,15,16.2,33.8,68.2,62.1,34.5,25.3,23.1,24.8,21,21.2,16.8,30,36,33.1,28.1,30.7,31.5,31.2,35.7,39.5,33.5,28.9,28.2,25.8,28.3,,,,
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702,0.703,0.701,0.885,,,,
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,1.5,0,0,0,0,,,,
Australia,9.66,10.6,10.1,10.5,10.2,9.62,9.23,9.59,8.43,8.54,8.38,8.1,7.86,8.44,8.19,8.8,9.3,8.65,8.12,7.5,8.61,10.4,10.6,13.3,14.9,13.6,,,,
Austria,66.2,65.1,72.4,74.1,70.8,70.5,66.8,67.9,69.8,70.7,72.5,69.2,69,60.8,64.2,63.6,65.5,68.7,69.2,71.1,66.2,65.6,74.5,78,81.1,76.5,,,,
Azerbaijan,7.16,7.5,8.84,12.7,10.4,9.13,9,10.2,10.8,8.29,8.2,6.86,10.8,11.6,12.7,13.2,10.3,10.8,10.3,12.2,18.4,13.2,7.92,6.67,5.63,7.04,,,,
Burundi,98.2,98.5,98.1,98.2,98.3,98.3,98.3,98.4,98.2,98,98,98.3,98.5,98.1,97.9,98,97.9,98.3,98.2,96.4,87.7,90.9,98,87,80.7,82.7,,,,
Belgium,0.79,0.753,0.864,0.724,0.841,0.909,0.747,0.755,0.925,1.02,1.26,1.37,1.41,1.43,1.77,2.46,3.5,3.98,5.29,6.06,6.92,9.41,12.8,14.2,17.1,20.8,,,,
Benin,0,0,0,0,0,0,0,3.39,2.53,2.78,2.38,3.03,3.17,2.5,1.23,0.935,2.6,1.36,1.31,0.781,0.87,0,0,0,0,5.56,,,,
